# Basal Ganglia Scaling
# n_neurons | WM          16D |FWM          16D | WM          32D |FWM          32D | WM          64D |FWM          64D | WM         128D |FWM         128D 
         50          1406.250            32.594          5312.500           116.188         20625.000           436.375         81250.000          1688.750
        100          5625.000            64.625         21250.000           230.250         82500.000           864.500        325000.000          3345.000
